desc,file_id_full,file_id_thumb,medium,title,year
"The Banks of the Seine at la Grande Jatte
Claude Oscar Monet  (1878)Private collectionPainting - oil on canvasUploaded Tuesday, 10 July 2012 by member Baker's DozenPublic domain",187797,187796,oil,The Banks of the Seine at la Grande Jatte,1878
"Banks of the Seine at Lavacourt
Claude Oscar Monet  (1878)Private collectionPainting - oil on canvasUploaded Monday, 13 October 2008 by member rocsdadPublic domain",75676,75675,oil,Banks of the Seine at Lavacourt,1878
"The Banks of the Seine at Port-Villez
Claude Oscar MonetPrivate collectionPainting - oil on canvasUploaded Sunday, 17 March 2013 by member rocsdadPublic domain",295525,295524,oil,The Banks of the Seine at Port-Villez,[]
"The Banks of the Seine at Port-Villez
Claude Oscar Monet  (1885)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",6949,6948,oil,The Banks of the Seine at Port-Villez,1885
"The Banks of the Seine at the Argenteuil Bridge
Claude Oscar Monet  (1874)Private collectionPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6275,6274,oil,The Banks of the Seine at the Argenteuil Bridge,1874
"Banks of the Seine at VÃ©theuil
Claude Oscar Monet  (1880)National Gallery of Art - Washington DCPainting - oil on canvasUploaded Saturday, 12 April 2014 by member kohn1foxPublic domain",439049,439048,oil,Banks of the Seine at VÃ©theuil,1880
"The Banks of the Seine, Ile de la Grande-Jatte
Claude Oscar Monet  (1878)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6405,6404,oil,"The Banks of the Seine, Ile de la Grande-Jatte",1878
"The Banks of The Seine in Autumn
Claude Oscar Monet  (1876)Private collectionPainting - oil on canvasUploaded Sunday, 18 September 2005 by member rocsdadPublic domain",46816,46815,oil,The Banks of The Seine in Autumn,1876
"The Banks of the Seine, Lavacourt
Claude Oscar Monet  (1878)Galerie Neue Meister - Staatliche Kunstsammlungen DresdenPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6439,6438,oil,"The Banks of the Seine, Lavacourt",1878
"Barge on the Seine at Vetheuil
(also known as Vetheuil)Claude Oscar Monet  (1901-1902)Private collectionPainting - oil on canvasUploaded Tuesday, 21 January 2003 by member rocsdadPublic domain",7710,7709,oil,Barge on the Seine at Vetheuil,1901-1902
"The Basin at Argenteuil
Claude Oscar Monet  (1872)MusÃ©e d'OrsayPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6171,6170,oil,The Basin at Argenteuil,1872
"A Basket of Apples
Claude Oscar Monet  (1880)Private collectionPainting - oil on canvasUploaded Monday, 12 November 2012 by member rocsdadPublic domain",250994,250993,oil,A Basket of Apples,1880
"Basket of Grapes, Quinces and Pears
Claude Oscar Monet  (1882-1885)Columbus Museum of Art (Ohio)Painting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",6893,6892,oil,"Basket of Grapes, Quinces and Pears",1882-1885
"Bathers at La Grenouillere
Claude Oscar Monet  (1869)National Gallery - LondonPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",348887,348886,oil,Bathers at La Grenouillere,1869
"The Bay of Antibes
Claude Oscar Monet  (1888)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7078,7077,oil,The Bay of Antibes,1888
"Beach and Cliffs at Pourville, Morning Effect
Claude Oscar Monet  (1882)Fuji Art MuseumPainting - oil on canvasUploaded Tuesday, 14 January 2003 by member rocsdadPublic domain",6703,6702,oil,"Beach and Cliffs at Pourville, Morning Effect",1882
"The Beach and the Falaise d'Amont
Claude Oscar Monet  (1885)Art Institute of ChicagoPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",6953,6952,oil,The Beach and the Falaise d'Amont,1885
"Beach at Etretat
Claude Oscar Monet  (1883)MusÃ©e d'OrsayPainting - oil on canvasUploaded Wednesday, 15 January 2003 by member rocsdadPublic domain",6751,6750,oil,Beach at Etretat,1883
"The Beach at Fecamp
Claude Oscar Monet  (1881)Private collectionPainting - oil on canvasUploaded Sunday, 18 September 2005 by member rocsdadPublic domain",46822,46821,oil,The Beach at Fecamp,1881
"The Beach at Honfleur
Claude Oscar Monet  (1864)Los Angeles County Museum of ArtPainting - oil on canvasUploaded Monday, 13 February 2012 by member rocsdadPublic domain",154466,154465,oil,The Beach at Honfleur,1864
"The Beach at Pourville
Claude Oscar Monet  (1882)Muzeum Narodowe w PozaniuPainting - oil on canvasUploaded Wednesday, 15 January 2003 by member rocsdadPublic domain",6717,6716,oil,The Beach at Pourville,1882
"The Beach at Sainte-Adresse
Claude Oscar Monet  (1867)Art Institute of ChicagoPainting - oil on canvasUploaded Friday, 10 January 2003 by member rocsdadPublic domain",5930,5929,oil,The Beach at Sainte-Adresse,1867
"The Beach at Trouville
Claude Oscar Monet  (1870)National Gallery - LondonPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6088,6087,oil,The Beach at Trouville,1870
"The Beach at Trouville
Claude Oscar Monet  (1870)Private collectionPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6084,6083,oil,The Beach at Trouville,1870
"Beach in Juan-les-Pins
Claude Oscar Monet  (1888)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7124,7123,oil,Beach in Juan-les-Pins,1888
"Bed of Chrysanthemums
Claude Oscar Monet  (1897)Private collectionPainting - oil on canvasUploaded Monday, 20 January 2003 by member rocsdadPublic domain",7522,7521,oil,Bed of Chrysanthemums,1897
"Belle-Ãle
Claude Oscar Monet  (1886)Private collectionPainting - oil on canvasUploaded Monday, 28 January 2013 by member rocsdadPublic domain",274859,274858,oil,Belle-Ãle,1886
"Belle-Ile, Rain Effect
Claude Oscar Monet  (1886)Bridgestone Museum of Art - TokyoPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7036,7035,oil,"Belle-Ile, Rain Effect",1886
"Belle-Ile, Rocks at Port-Goulphar
Claude Oscar Monet  (1886)Art Institute of ChicagoPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7022,7021,oil,"Belle-Ile, Rocks at Port-Goulphar",1886
"Bend in the River Epte
Claude Oscar Monet  (1888)Philadelphia Museum of ArtPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7148,7147,oil,Bend in the River Epte,1888
